method,param,param_value,iteration,time,cuts,objectif
MCTS10,L,5,1,0.015484099,0,43.0
MCTS0_20,L,5,1,0.0649411,0,25.0
MCTS20,L,5,1,0.0385517,0,46.0
MCTS0_50,L,5,1,0.2379692,0,32.0
MCTS50,L,5,1,0.0971527,0,44.0
MCTS0_100,L,5,1,0.431095,0,33.0
MCTS100,L,5,1,0.181471499,0,44.0
MCTS0_200,L,5,1,1.0070098,0,27.0
MCTS200,L,5,1,0.346810799,0,44.0
PL1,L,5,2,0.603162999,0,42.0
MCTS0_10,L,5,2,0.0505974,0,19.0
MCTS10,L,5,2,0.017472,0,34.0
MCTS0_20,L,5,2,0.082852401,0,22.0
MCTS20,L,5,2,0.032855599,0,38.0
MCTS0_50,L,5,2,0.1602187,0,19.0
MCTS50,L,5,2,0.0697121,0,34.0
MCTS0_100,L,5,2,0.4762942,0,22.0
MCTS100,L,5,2,0.1812771,0,40.0
MCTS0_200,L,5,2,1.346938401,0,23.0
MCTS200,L,5,2,0.340651899,0,35.0
PL1,L,5,3,0.133944899,0,51.0
MCTS0_10,L,5,3,0.0343306,0,23.0
MCTS10,L,5,3,0.0485947,0,41.0
MCTS0_20,L,5,3,0.0918157,0,24.0
MCTS20,L,5,3,0.0394883,0,36.0
MCTS0_50,L,5,3,0.156238601,0,29.0
MCTS50,L,5,3,0.0797446,0,41.0
MCTS0_100,L,5,3,0.4675673,0,27.0
MCTS100,L,5,3,0.1593202,0,38.0
MCTS0_200,L,5,3,1.1918715,0,29.0
MCTS200,L,5,3,0.3071716,0,38.0
PL1,L,5,4,0.1314447,0,46.0
MCTS0_10,L,5,4,0.0288338,0,25.0
MCTS10,L,5,4,0.014032699,0,39.0
MCTS0_20,L,5,4,0.0589829,0,23.0
MCTS20,L,5,4,0.027925599,0,39.0
MCTS0_50,L,5,4,0.177591299,0,23.0
MCTS50,L,5,4,0.206398999,0,39.0
MCTS0_100,L,5,4,0.327110499,0,24.0
MCTS100,L,5,4,0.1367416,0,39.0
MCTS0_200,L,5,4,1.1855157,0,29.0
MCTS200,L,5,4,0.3186475,0,40.0
PL1,L,5,5,0.1200808,0,50.0
MCTS0_10,L,5,5,0.023800799,0,19.0
MCTS10,L,5,5,0.0389001,0,41.0
MCTS0_20,L,5,5,0.077263501,0,25.0
MCTS20,L,5,5,0.0305894,0,44.0
MCTS0_50,L,5,5,0.198962901,0,26.0
MCTS50,L,5,5,0.090242,0,46.0
MCTS0_100,L,5,5,0.414947401,0,36.0
MCTS100,L,5,5,0.1515039,0,44.0
MCTS0_200,L,5,5,0.809530601,0,30.0
MCTS200,L,5,5,0.270086699,0,43.0
PL1,L,6,1,0.6687329,0,42.0
MCTS0_10,L,6,1,0.059472299,0,25.0
MCTS10,L,6,1,0.0222648,0,32.0
MCTS0_20,L,6,1,0.122985001,0,20.0
MCTS20,L,6,1,0.0486408,0,30.0
MCTS0_50,L,6,1,0.1919835,0,19.0
MCTS50,L,6,1,0.105062601,0,29.0
MCTS0_100,L,6,1,0.4585881,0,22.0
MCTS100,L,6,1,0.2273358,0,31.0
MCTS0_200,L,6,1,1.7504744,0,26.0
MCTS200,L,6,1,0.579956401,0,33.0
PL1,L,6,2,3.512571401,0,34.0
MCTS0_10,L,6,2,0.066841,0,21.0
MCTS10,L,6,2,0.022409201,0,30.0
MCTS0_20,L,6,2,0.0780807,0,21.0
MCTS20,L,6,2,0.0385904,0,30.0
MCTS0_50,L,6,2,0.2124392,0,17.0
MCTS50,L,6,2,0.1275517,0,31.0
MCTS0_100,L,6,2,0.902836101,0,18.0
MCTS100,L,6,2,0.332601001,0,31.0
MCTS0_200,L,6,2,1.545464899,0,24.0
MCTS200,L,6,2,0.369468899,0,31.0
PL1,L,6,3,0.8286742,0,42.0
MCTS0_10,L,6,3,0.042247999,0,22.0
MCTS10,L,6,3,0.021408699,0,32.0
MCTS0_20,L,6,3,0.0821094,0,20.0
MCTS20,L,6,3,0.1228428,0,32.0
MCTS0_50,L,6,3,0.2287336,0,20.0
MCTS50,L,6,3,0.306635101,0,32.0
MCTS0_100,L,6,3,0.8015626,0,28.0
MCTS100,L,6,3,0.5534558,0,32.0
MCTS0_200,L,6,3,1.264639401,0,27.0
MCTS200,L,6,3,0.3572205,0,33.0
PL1,L,6,4,0.808378199,0,31.0
MCTS0_10,L,6,4,0.0314499,0,12.0
MCTS10,L,6,4,0.0196364,0,27.0
MCTS0_20,L,6,4,0.069321599,0,14.0
MCTS20,L,6,4,0.0336341,0,26.0
MCTS0_50,L,6,4,0.329098301,0,18.0
MCTS50,L,6,4,0.084214401,0,25.0
MCTS0_100,L,6,4,0.546422401,0,19.0
MCTS100,L,6,4,0.165365701,0,25.0
MCTS0_200,L,6,4,1.183901001,0,21.0
MCTS200,L,6,4,0.3244014,0,25.0
PL1,L,6,5,0.178525301,0,41.0
MCTS0_10,L,6,5,0.0295435,0,22.0
MCTS10,L,6,5,0.0184423,0,35.0
MCTS0_20,L,6,5,0.065560001,0,18.0
MCTS20,L,6,5,0.030673499,0,35.0
MCTS0_50,L,6,5,0.242985699,0,21.0
MCTS50,L,6,5,0.0874208,0,36.0
MCTS0_100,L,6,5,0.563682101,0,23.0
MCTS100,L,6,5,0.1707915,0,35.0
MCTS0_200,L,6,5,0.93569,0,23.0
MCTS200,L,6,5,0.3197774,0,35.0
PL1,L,7,1,0.9421942,0,44.0
MCTS0_10,L,7,1,0.0406597,0,22.0
MCTS10,L,7,1,0.0228813,0,29.0
MCTS0_20,L,7,1,0.121967599,0,18.0
MCTS20,L,7,1,0.0508935,0,37.0
MCTS0_50,L,7,1,0.416278501,0,22.0
MCTS50,L,7,1,0.108109299,0,34.0
MCTS0_100,L,7,1,0.3941175,0,22.0
MCTS100,L,7,1,0.225177101,0,36.0
MCTS0_200,L,7,1,2.2094543,0,25.0
MCTS200,L,7,1,0.4637266,0,35.0
PL1,L,7,2,0.196222,0,44.0
MCTS0_10,L,7,2,0.044706799,0,17.0
MCTS10,L,7,2,0.0282299,0,38.0
MCTS0_20,L,7,2,0.0744862,0,19.0
MCTS20,L,7,2,0.0469831,0,35.0
MCTS0_50,L,7,2,0.2450141,0,16.0
MCTS50,L,7,2,0.123460401,0,35.0
MCTS0_100,L,7,2,0.554455901,0,21.0
MCTS100,L,7,2,0.2806613,0,36.0
MCTS0_200,L,7,2,1.6215375,0,23.0
MCTS200,L,7,2,0.724274301,0,36.0
PL1,L,7,3,2.198555299,0,38.0
MCTS0_10,L,7,3,0.058835701,0,15.0
MCTS10,L,7,3,0.0253277,0,30.0
MCTS0_20,L,7,3,0.106297,0,21.0
MCTS20,L,7,3,0.0558816,0,30.0
MCTS0_50,L,7,3,0.401170599,0,18.0
MCTS50,L,7,3,0.1223352,0,29.0
MCTS0_100,L,7,3,0.7052658,0,20.0
MCTS100,L,7,3,0.2328079,0,29.0
MCTS0_200,L,7,3,1.480672299,0,23.0
MCTS200,L,7,3,0.4442266,0,30.0
PL1,L,7,4,0.0913637,0,41.0
MCTS0_10,L,7,4,0.0350339,0,16.0
MCTS10,L,7,4,0.022745701,0,35.0
MCTS0_20,L,7,4,0.133471801,0,17.0
MCTS20,L,7,4,0.047070701,0,32.0
MCTS0_50,L,7,4,0.5522373,0,21.0
MCTS50,L,7,4,0.165122099,0,36.0
MCTS0_100,L,7,4,0.5976624,0,18.0
MCTS100,L,7,4,0.221468901,0,35.0
MCTS0_200,L,7,4,1.844948501,0,19.0
MCTS200,L,7,4,0.4806851,0,35.0
PL1,L,7,5,0.4913398,0,42.0
MCTS0_10,L,7,5,0.0387248,0,25.0
MCTS10,L,7,5,0.022009,0,34.0
MCTS0_20,L,7,5,0.085192601,0,23.0
